<<<<<<< HEAD
jurisdiction,year,murder_rate,rape_rate,robbery_rate,agg_rate,"MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Missouri,2014,6.6,28.1,92.2,304.8,8.3,6.4,1.6,2
Missouri,2015,8.3,30.5,104.8,342.4,24.2,8.3,13.6,12.3
Missouri,2016,8.8,30.9,107.8,360.8,6.8,1.5,2.9,5.4
Missouri,2017,9.8,44.6,103.9,372,11.4,44.4,-3.7,3.1
Missouri,2018,9.9,47.5,84.8,34.4,1,6.5,-18.3,-90.8
Missouri,2019,9.3,47.5,80.8,357.4,-6.6,0,-4.8,939.7
Montana,2006,1.8,28.5,17.4,206.1,,,,
Montana,2007,1.5,30.3,19.9,235.8,-18.8,6.3,14.9,14.4
Montana,2008,2.4,30.4,17.8,207.6,62.7,0.4,-10.8,-12
Montana,2009,2.9,30.2,22.2,198.5,20.8,-0.8,24.6,-4.4
Montana,2010,2.6,32.4,15.9,221.2,-8.5,7.6,-28.4,11.5
Montana,2011,2.8,35.8,16.9,212,6.7,10.2,6.7,-4.2
Montana,2012,2.7,37.7,19,212.8,-4.2,5.4,12.2,0.4
Montana,2013,2.2,28.3,20.1,190.2,-19.3,-25,5.8,-10.6
Montana,2014,3.6,42,19.8,247.4,66.8,48.6,-1.3,30
Montana,2015,3.5,41.7,20.3,272.8,-3.6,-0.7,2.5,10.3
Montana,2016,3.5,39.7,25.5,283.9,-0.9,-4.8,25.5,4.1
Montana,2017,3.9,58.4,28.1,286.7,13,46.9,10.1,1
Montana,2018,3.2,51.9,25.3,918.1,-18,-11.1,-9.8,220.2
Montana,2019,2.5,58.4,19.2,324.9,-21.1,12.6,-24.3,-64.6
Nebraska,2006,2.8,31,63.8,184.1,,,,
Nebraska,2007,3.8,29.7,62.4,206.5,35.5,-4.2,-2.2,12.1
Nebraska,2008,3.8,32.7,72.8,194.3,-0.5,10.1,16.7,-5.9
Nebraska,2009,2.2,33.1,67.8,178.4,-41.6,1.3,-6.8,-8.2
Nebraska,2010,3,36.8,56.1,183.6,32.8,11.1,-17.3,2.9
Nebraska,2011,3.6,37.7,54.1,157.7,23,2.5,-3.6,-14.1
Nebraska,2012,2.9,38.3,60.9,157.4,-21.4,1.6,12.6,-0.2
Nebraska,2013,3.1,33,55.7,160.5,6.8,-14,-8.6,2
Nebraska,2014,2.9,33,55.4,176.2,-5.9,0,-0.4,9.8
Nebraska,2015,3.3,34.4,52.4,173.1,13.9,4.3,-5.4,-1.8
Nebraska,2016,2.6,38.7,49.6,186.7,-21.4,12.5,-5.4,7.8
Nebraska,2017,2.2,62,50.4,191.2,-12.8,60.3,1.6,2.4
Nebraska,2018,2.3,63.9,39.2,179.4,1.8,3,-22.3,-6.2
Nebraska,2019,2.3,64.8,40.9,192.9,2,1.4,4.5,7.5
Nevada,2006,9,43.2,281.6,407.8,,,,
Nevada,2007,7.5,42.7,270.2,430.2,-16.6,-1.2,-4,5.5
Nevada,2008,6.3,42.4,248.9,426.9,-16.2,-0.8,-7.9,-0.8
Nevada,2009,5.9,38.6,227.8,429.8,-5.2,-8.9,-8.5,0.7
Nevada,2010,5.9,35.7,196.2,422.9,-1.5,-7.5,-13.9,-1.6
Nevada,2011,5.2,33.5,157.9,365.6,-11.5,-6.3,-19.5,-13.5
Nevada,2012,4.5,33.7,178.3,391.1,-13.2,0.8,12.9,7
Nevada,2013,5.8,39.1,185.8,360.6,30,15.8,4.2,-7.8
Nevada,2014,6,35,209.7,372.1,2.5,-10.3,12.9,3.2
Nevada,2015,6.2,42.8,217.5,413.9,2.8,22.2,3.7,11.2
Nevada,2016,7.6,43.9,215.6,395.9,23.7,2.6,-0.8,-4.4
Nevada,2017,9.1,63,161.5,322.3,20,43.5,-25.1,-18.6
Nevada,2018,6.7,76.8,127.3,330.4,-27.2,21.8,-21.2,2.5
Nevada,2019,4.6,70.2,106.7,312.3,-30.3,-8.6,-16.2,-5.5
New Hampshire,2006,1,26.2,32.2,79.4,,,,
New Hampshire,2007,1.1,25.3,32.8,78,15.3,-3.3,2.1,-1.7
New Hampshire,2008,1,29.7,31.8,94.7,-13.3,17.4,-3,21.3
New Hampshire,2009,0.8,30.2,34.4,94.3,-23.6,1.6,7.9,-0.4
New Hampshire,2010,1,31.3,34.3,100.4,30.8,3.6,-0.3,6.5
New Hampshire,2011,1.3,32.5,36,118.2,30.6,4,5,17.7
New Hampshire,2012,1.1,34,35.7,117,-11.9,4.5,-0.6,-1
New Hampshire,2013,1.7,36.2,49,112.7,46.4,6.5,37.2,-3.6
New Hampshire,2014,0.9,34.5,40.5,110,-45.6,-4.6,-17.5,-2.5
New Hampshire,2015,1.1,34.6,35.2,116,16.3,0.4,-13.1,5.5
New Hampshire,2016,1.3,31.7,32,120.7,21,-8.5,-9,4.1
New Hampshire,2017,1,49.4,31.2,117.1,-18.1,55.8,-2.5,-3
New Hampshire,2018,1.5,39.4,26.5,105.8,48.5,-20.3,-15.2,-9.6
New Hampshire,2019,2.4,43.4,23,83.7,56.8,10.2,-13,-20.9
New Jersey,2006,4.9,14.2,153.1,179.4,,,,
New Jersey,2007,4.4,12.1,144.5,168.3,-10.8,-14.7,-5.6,-6.2
New Jersey,2008,4.3,12.9,146.3,163,-1,6.9,1.2,-3.2
New Jersey,2009,3.7,12,133.7,162.2,-15.4,-7.5,-8.6,-0.5
New Jersey,2010,4.2,11.2,134.4,157.9,15.2,-6.7,0.6,-2.6
New Jersey,2011,4.3,11.4,138.4,154.3,2.1,2.2,3,-2.3
New Jersey,2012,4.4,11.7,128.4,145.7,1.6,2.4,-7.2,-5.5
New Jersey,2013,4.5,9.7,135.8,135.6,2.9,-17.1,5.7,-6.9
New Jersey,2014,3.9,10.7,117.5,125.6,-13.3,10.2,-13.5,-7.4
New Jersey,2015,4.1,11.4,108.6,127.4,3.8,6.7,-7.5,1.5
New Jersey,2016,4.2,12.2,100.4,124.2,2.6,7,-7.5,-2.6
New Jersey,2017,3.6,16.7,87.7,120.8,-13.5,37.3,-12.7,-2.7
New Jersey,2018,3.2,16,71.4,117.4,-10.8,-4.4,-18.5,-2.8
New Jersey,2019,2.9,17.2,64.5,122.2,-8.1,7.8,-9.7,4
New Mexico,2006,6.8,56,107.7,472.8,,,,
New Mexico,2007,8.2,52.4,117.8,485.8,21.8,-6.4,9.4,2.8
New Mexico,2008,7.2,57.4,109.5,475.9,-13,9.6,-7.1,-2
New Mexico,2009,8.7,52.6,93.1,464.7,21.7,-8.4,-15,-2.4
New Mexico,2010,6.9,46.5,78.4,457.1,-20.8,-11.5,-15.8,-1.6
New Mexico,2011,7.5,41.2,82.7,436.2,8.6,-11.5,5.5,-4.6
New Mexico,2012,5.6,45.9,88.6,419.1,-25.8,11.5,7.1,-3.9
New Mexico,2013,6,54,86.8,449.9,7.8,17.7,-2,7.4
New Mexico,2014,4.8,51.4,100,421.8,-19.2,-4.9,15.2,-6.2
New Mexico,2015,5.6,58.3,119.2,451.2,15.9,13.5,19.2,7
New Mexico,2016,6.7,53.7,131.5,491,19,-7.9,10.4,8.8
New Mexico,2017,7.1,60.3,178.3,537.8,6.1,12.3,35.5,9.5
New Mexico,2018,8,64.6,135.1,648.9,12.4,7.2,-24.2,20.7
New Mexico,2019,8.6,61.4,111.6,650.5,8.3,-4.9,-17.3,0.2
New York,2006,4.8,16.4,178.6,235.1,,,,
New York,2007,4.2,15.2,161.1,233.7,-13,-7.6,-9.8,-0.6
New York,2008,4.3,14.4,163,216.4,3.3,-5.2,1.2,-7.4
New York,2009,4,13.2,144,223.5,-7.2,-7.9,-11.7,3.3
New York,2010,4.5,14.3,146.9,226.4,12.2,8.1,2.1,1.3
New York,2011,4,14.1,145.9,234.1,-11,-1.1,-0.7,3.4
New York,2012,3.5,14.6,146.4,242.3,-12.1,2.9,0.4,3.5
New York,2013,3.3,13.1,138.6,234.7,-5.7,-9.9,-5.3,-3.1
New York,2014,3.1,19.8,121.8,229.4,-5.2,51.3,-12.2,-2.3
New York,2015,3.1,22.2,120.9,225,-1.5,11.7,-0.7,-1.9
New York,2016,3.2,23.1,113,228.3,3.7,4.4,-6.5,1.5
New York,2017,2.8,31.9,101.3,220.8,-13.5,37.7,-10.4,-3.3
New York,2018,2.9,33.6,93.1,220.9,4.2,5.6,-8.1,0.1
New York,2019,2.9,33.8,92.9,229,-0.3,0.6,-0.2,3.7
North Carolina,2006,6.1,28.2,152.2,289.1,,,,
North Carolina,2007,6.5,26.3,149.5,284.1,5.9,-6.6,-1.8,-1.7
North Carolina,2008,6.5,24.8,155.4,280.6,1.4,-5.9,4,-1.2
North Carolina,2009,5.3,24.6,126.1,248.4,-19.6,-0.7,-18.9,-11.5
North Carolina,2010,5,21.1,100.8,236.5,-5.2,-14.1,-20,-4.8
North Carolina,2011,5.3,20.7,98.9,224.9,5.4,-2.1,-1.9,-4.9
North Carolina,2012,4.9,20.3,96.3,231.8,-6.6,-1.5,-2.6,3.1
North Carolina,2013,4.8,18.5,94.9,218.4,-3,-9.1,-1.4,-5.8
North Carolina,2014,5.1,17.5,84.6,215.4,7.7,-5.4,-10.8,-1.4
North Carolina,2015,5.1,19.3,87.9,227.3,0.4,10.3,3.8,5.5
North Carolina,2016,6.7,20.6,92,245.5,29.8,6.5,4.7,8
North Carolina,2017,5.8,26.4,91,240.5,-13.9,28.5,-1.1,-2
North Carolina,2018,6,25.4,81.1,265.1,5.1,-4,-10.9,10.2
North Carolina,2019,6,31,72.5,262.4,-0.4,22.1,-10.7,-1
North Dakota,2006,1.3,30.4,11.3,84.9,,,,
North Dakota,2007,1.9,32.4,10.9,97.2,49.1,6.6,-3.4,14.5
North Dakota,2008,0.5,36.2,11.2,118.6,-75.1,11.8,2.6,22
North Dakota,2009,1.5,34.8,16.2,148.1,230.6,-3.8,44.6,24.8
North Dakota,2010,1.5,35.2,13.4,174.8,-3.8,1.3,-17.6,18.1
North Dakota,2011,3.5,37.9,13.3,192.3,136,7.5,-0.6,10
North Dakota,2012,4,38.9,18.7,183.1,14,2.7,40.7,-4.8
North Dakota,2013,2.2,31.8,22.4,199.9,-44.7,-18.2,19.6,9.2
North Dakota,2014,3,37.3,23.4,190.3,34.5,17.4,4.5,-4.8
North Dakota,2015,2.8,36.5,19.6,171.5,-6.7,-2.3,-16.4,-9.9
North Dakota,2016,2,33.8,23.9,180.1,-28.7,-7.4,22.1,5
North Dakota,2017,1.3,52.8,24.2,202.9,-33.1,56.4,1.4,12.7
North Dakota,2018,2.4,52.2,20.8,205.2,78.9,-1.1,-14.2,1.1
North Dakota,2019,3.1,57.3,23.5,200.6,33,9.8,13,-2.2
Ohio,2006,4.7,39.6,166.8,139.2,,,,
Ohio,2007,4.5,38.8,159.2,140.7,-4.2,-2,-4.6,1.1
Ohio,2008,4.7,38.5,163,142.1,5.1,-0.9,2.3,1
Ohio,2009,4.5,34.8,154.1,138.7,-4.9,-9.4,-5.5,-2.4
Ohio,2010,4.1,32.1,142.8,136.2,-8.2,-8,-7.3,-1.8
Ohio,2011,4.4,31.5,139.1,132.4,7.7,-1.9,-2.6,-2.8
Ohio,2012,4.3,31.7,132,131.7,-3.5,0.7,-5.1,-0.5
Ohio,2013,3.9,24.4,124.2,123.2,-8.3,-23,-5.9,-6.5
Ohio,2014,4,35.3,110,127.4,1.8,44.8,-11.4,3.4
Ohio,2015,4.3,35.8,108.1,135.1,7.6,1.2,-1.7,6.1
Ohio,2016,5.6,35.7,107.8,138.7,30.8,-0.3,-0.3,2.6
Ohio,2017,6.1,50.3,99.5,141.6,8.2,41,-7.7,2.1
Ohio,2018,4.8,45.3,78.6,151.2,-20.8,-9.8,-21.1,6.8
Ohio,2019,4.6,49,75.7,163.9,-4.6,8.1,-3.7,8.4
Oklahoma,2006,5.8,41.6,87.5,362.5,,,,
Oklahoma,2007,6.1,43.1,93.2,357.1,6.1,3.7,6.5,-1.5
Oklahoma,2008,5.8,40.2,101.1,379.5,-5.2,-6.6,8.4,6.3
Oklahoma,2009,6.2,41.5,90.7,362.7,6.2,3,-10.3,-4.4
Oklahoma,2010,5.2,38.7,89,346.7,-15.9,-6.8,-1.9,-4.4
Oklahoma,2011,5.5,37,86.6,325.7,5.5,-4.3,-2.7,-6
Oklahoma,2012,5.7,41.6,84.7,337.3,3.2,12.5,-2.2,3.5
Oklahoma,2013,5.1,43.5,78.7,300.8,-10.6,4.5,-7.1,-10.8
Oklahoma,2014,4.5,32.9,78.6,277,-10.9,-24.3,-0.2,-7.9
Oklahoma,2015,6,34.6,76.8,291.9,32.6,5,-2.2,5.4
Oklahoma,2016,6.2,38.5,80.6,311,4.4,11.3,4.9,6.5
Oklahoma,2017,6.2,54.5,76.3,319.3,-1.4,41.7,-5.3,2.7
Oklahoma,2018,5.2,58.3,70.8,331.8,-15.1,7,-7.3,3.9
Oklahoma,2019,6.7,57.3,59.9,307.9,28.7,-1.7,-15.4,-7.2
Oregon,2006,2.3,32.3,72.7,173,,,,
Oregon,2007,1.9,33.5,76.4,175.8,-16.2,3.7,5.1,1.6
Oregon,2008,2.2,30.5,69.7,154.8,11.1,-8.9,-8.8,-11.9
Oregon,2009,2.2,30.5,64.3,157.6,2.7,0.1,-7.7,1.8
Oregon,2010,2.4,31.7,62.4,155.6,6.9,3.8,-3,-1.3
Oregon,2011,2.1,31.4,57.4,156.6,-10.8,-0.8,-8,0.7
Oregon,2012,2.4,29.2,61.9,154.1,11.4,-7,7.8,-1.6
Oregon,2013,2,37.1,61,142.7,-13.7,27,-1.4,-7.4
Oregon,2014,2,26.5,52.7,140.8,0.2,-28.6,-13.6,-1.3
Oregon,2015,2.5,28.9,53.3,164.6,20.4,9,1,16.8
Oregon,2016,2.8,30.8,55.6,164.1,12.3,6.6,4.5,-0.3
Oregon,2017,2.5,48.3,58.7,172.3,-9.1,56.6,5.5,5
Oregon,2018,2,47.1,60.8,175.6,-22.1,-2.3,3.6,1.9
Oregon,2019,2.8,42.2,54,185.5,40.6,-10.6,-11.3,5.6
Pennsylvania,2006,5.9,27.3,168.6,237.6,,,,
Pennsylvania,2007,5.8,27.7,156.5,226.4,-1.7,1.5,-7.2,-4.7
Pennsylvania,2008,5.6,27.9,151.6,224.8,-3.2,0.7,-3.1,-0.7
Pennsylvania,2009,5.2,29,138.9,207.4,-6.9,3.7,-8.4,-7.8
Pennsylvania,2010,5.2,26.9,128.8,205.3,-1.4,-7.2,-7.3,-1
Pennsylvania,2011,5,26.1,126.6,197.3,-3.4,-3,-1.7,-3.9
Pennsylvania,2012,5.4,26.1,122.8,194.4,7.4,-0.1,-3,-1.5
Pennsylvania,2013,4.7,20.7,115.6,185.7,-13.4,-20.8,-5.9,-4.5
Pennsylvania,2014,4.8,21.8,105.8,173.5,3.3,5.5,-8.4,-6.5
Pennsylvania,2015,5.1,24.4,101.6,174.8,7,11.9,-4,0.7
Pennsylvania,2016,5.2,25.3,96.4,180.1,0.6,3.7,-5.1,3.1
Pennsylvania,2017,5.8,32.8,92.1,182.6,11.6,29.7,-4.5,1.4
Pennsylvania,2018,6.1,35,76.9,188,6.1,6.7,-16.5,2.9
Pennsylvania,2019,5.2,34,76.1,191.1,-14.6,-2.9,-1,1.7
Rhode Island,2006,2.6,26.7,68.8,129.4,,,,
Rhode Island,2007,1.8,24.2,71,130.3,-31.5,-9.3,3.1,0.7
Rhode Island,2008,2.8,26.4,83.7,136.7,53.7,8.9,17.8,4.9
Rhode Island,2009,2.9,27.3,74.6,147.7,6.7,3.4,-10.8,8.1
Rhode Island,2010,2.8,28.1,74.1,151.6,-6.4,3.2,-0.7,2.6
Rhode Island,2011,1.3,28.9,71,146.3,-51.7,2.8,-4.2,-3.5
Rhode Island,2012,3.2,27.4,67.9,153.9,143.1,-5.2,-4.3,5.2
Rhode Island,2013,2.9,29.2,65,147.4,-8.9,6.5,-4.2,-4.2
Rhode Island,2014,2.4,24,50.1,132.5,-19.6,-17.9,-22.9,-10.1
Rhode Island,2015,2.7,32,52.6,143.7,15.9,33.5,5,8.5
Rhode Island,2016,2.7,31,51.1,143.2,0,-3,-2.9,-0.3
Rhode Island,2017,1.9,42,44.7,143.5,-31.2,35.3,-12.5,0.2
Rhode Island,2018,1.5,45.5,42.9,129.2,-19.8,8.3,-4,-10
Rhode Island,2019,2.4,46.3,39.5,132.9,55.9,1.9,-8.1,2.9
South Carolina,2006,8.3,40.8,136.5,579.9,,,,
South Carolina,2007,8,39.5,144,596.9,-3.9,-3.2,5.5,2.9
South Carolina,2008,6.8,36.6,147.3,539.1,-14.7,-7.3,2.3,-9.7
South Carolina,2009,6.3,35.3,125.7,503.4,-7.6,-3.3,-14.6,-6.6
South Carolina,2010,6.1,31.7,107.7,452.3,-3.8,-10.3,-14.3,-10.2
South Carolina,2011,6.8,34.5,92.2,438.4,13,8.7,-14.4,-3.1
South Carolina,2012,6.9,35.5,95,421.4,0.3,3.2,3.1,-3.9
South Carolina,2013,6.2,31.8,83.2,373.6,-9.3,-10.6,-12.5,-11.3
South Carolina,2014,6.4,30.6,82.7,365.8,3.5,-3.7,-0.6,-2.1
South Carolina,2015,8.1,34.9,80.3,369.1,26.6,13.8,-2.9,0.9
South Carolina,2016,7.4,34.5,81.3,365,-9.5,-1.1,1.3,-1.1
South Carolina,2017,7.8,49.8,77,371.5,5.2,44.5,-5.3,1.8
South Carolina,2018,7.7,47.9,69.9,362.8,-0.7,-3.9,-9.3,-2.4
South Carolina,2019,9,47.8,64,390.5,16.9,-0.2,-8.5,7.6
South Dakota,2006,1.2,43,15.2,112,,,,
South Dakota,2007,2.1,38.7,14.1,114.3,85.5,-10,-7.6,2
South Dakota,2008,3.2,53.7,14.9,129.6,51.4,38.9,6.1,13.4
South Dakota,2009,2.6,54.8,13.7,114.6,-20,2,-8.4,-11.6
South Dakota,2010,2.8,47.9,18.9,198.9,9.3,-12.6,38.4,73.5
South Dakota,2011,2.5,60.2,20.3,171.1,-9.8,25.7,7.1,-14
South Dakota,2012,3,70.2,19,229.7,17.7,16.6,-6.4,34.2
South Dakota,2013,2.4,41.3,18.8,236.2,-21.1,-41.2,-0.7,2.9
South Dakota,2014,2.3,48.4,23.4,245.7,-1,17.2,24.6,4
South Dakota,2015,3.7,51.4,25.2,296.6,59,6.1,7.3,20.7
South Dakota,2016,3.1,43.8,31.4,325,-16.3,-14.8,24.9,9.6
South Dakota,2017,2.9,68.4,27.4,335,-7.9,56.2,-12.9,3.1
South Dakota,2018,1.4,69.6,29.7,304,-52.7,1.7,8.5,-9.2
South Dakota,2019,1.9,72.6,22,302.5,41.3,4.3,-25.8,-0.5
Tennessee,2006,6.8,35.5,184.3,533.7,,,,
Tennessee,2007,6.4,35.3,179,532.5,-4.8,-0.4,-2.9,-0.2
Tennessee,2008,6.6,33.2,173.8,508.9,1.8,-6,-2.9,-4.4
Tennessee,2009,7.3,31.7,153.2,475.5,11.5,-4.6,-11.8,-6.6
Tennessee,2010,5.6,33.7,131.8,442.2,-23.2,6.4,-14,-7
Tennessee,2011,5.8,31.6,126.2,444.5,3.5,-6.2,-4.3,0.5
Tennessee,2012,6,31.5,126.5,479.6,3.2,-0.4,0.3,7.9
Tennessee,2013,5,25.3,112.5,436.9,-16,-19.7,-11.1,-8.9
Tennessee,2014,5.7,28.4,110.9,453.2,12.2,12.4,-1.4,3.7
Tennessee,2015,6.2,29.8,113.2,452.2,8.6,4.8,2.1,-0.2
Tennessee,2016,7.3,29.9,117.5,467.3,18.8,0.5,3.7,3.4
Tennessee,2017,7.8,43.7,117.1,482.9,7.4,45.9,-0.3,3.3
Tennessee,2018,7.4,41.7,106.2,468.5,-6.3,-4.6,-9.3,-3
Tennessee,2019,7.3,41.2,90.1,456.7,-0.9,-1.1,-15.2,-2.5
Texas,2006,5.9,35.6,158.5,316.4,,,,
Texas,2007,5.9,35.3,162.2,307.2,0.9,-0.9,2.3,-2.9
Texas,2008,5.6,32.9,155.2,314.1,-4.9,-6.7,-4.3,2.3
Texas,2009,5.4,33.4,153.5,298.7,-5.1,1.5,-1.1,-4.9
Texas,2010,5,30.3,130.6,284.4,-7.3,-9.4,-14.9,-4.8
Texas,2011,4.4,29,110.6,264.5,-11.7,-4.4,-15.3,-7
Texas,2012,4.4,29.6,116.6,258,0.1,2.1,5.4,-2.5
Texas,2013,4.3,28.4,120.2,246.9,-1.9,-4.1,3.1,-4.3
Texas,2014,4.4,30.6,115.7,243.6,2,7.7,-3.8,-1.3
Texas,2015,4.8,32.5,116.3,246.6,9.1,6.3,0.5,1.2
Texas,2016,5.3,35.4,119.6,261.6,10.7,8.9,2.9,6.1
Texas,2017,5,51.1,114,268.8,-6,44.5,-4.7,2.8
Texas,2018,4.6,51.2,98.4,256.6,-7.7,0.1,-13.6,-4.5
Texas,2019,4.9,51.1,100,263,5.5,-0.1,1.6,2.5
Utah,2006,1.8,34.1,48.8,139.7,,,,
Utah,2007,2.2,34.3,53.7,144.6,21.5,0.7,9.9,3.5
Utah,2008,1.4,32.6,51.9,135.8,-35,-4.9,-3.3,-6
Utah,2009,1.3,32.5,46.6,132.3,-6.8,-0.4,-10.2,-2.6
Utah,2010,1.9,34.3,45.9,130.6,44.3,5.5,-1.7,-1.2
Utah,2011,1.9,30.3,38.4,124.4,0,-11.6,-16.4,-4.7
Utah,2012,1.8,33,38.5,132.5,-8.6,8.9,0.4,6.5
Utah,2013,1.7,34.3,42.8,130.4,-3.5,3.8,11.2,-1.5
Utah,2014,2.3,32.1,44.6,119.4,34.8,-6.3,4,-8.5
Utah,2015,1.8,36.6,44.3,135.1,-20.8,14.1,-0.7,13.1
Utah,2016,2.4,36.6,50.5,140.1,30.9,-0.2,14.1,3.7
Utah,2017,2.4,54.7,47.3,134.5,-0.3,49.6,-6.3,-4
Utah,2018,1.9,55.5,39.1,136.6,-19.3,1.4,-17.4,1.6
Utah,2019,2.2,56.8,35.1,141.4,18.3,2.5,-10.3,3.5
Vermont,2006,1.9,24,17.6,93,,,,
Vermont,2007,1.9,19.8,12.9,89.7,0.4,-17.6,-27,-3.6
Vermont,2008,2.7,20.4,14.3,98.3,41.7,3.2,11.2,9.7
Vermont,2009,1.1,19.9,17.9,92.5,-58.9,-2.4,24.6,-6
Vermont,2010,1.1,21.1,11.8,96.2,-0.6,5.8,-33.8,4
Vermont,2011,1.3,19,13.6,101.4,14.2,-9.9,14.7,5.4
Vermont,2012,1.3,19.3,17.9,104.2,0.1,1.7,31.9,2.7
Vermont,2013,1.6,14.5,11.6,87.1,24.9,-24.9,-34.9,-16.3
Vermont,2014,1.6,15.8,11.2,68.9,0,8.8,-4.1,-20.9
Vermont,2015,1.6,19.3,16.1,78.6,0.1,22.3,44.4,14
Vermont,2016,2.2,19.9,17,110.6,40.3,2.7,5.2,40.8
Vermont,2017,2.2,35,14.8,113.8,0.2,76.1,-13.1,2.9
Vermont,2018,1.6,45.8,11.2,113.4,-28.9,31.1,-24.2,-0.4
Vermont,2019,1.8,44.6,11.4,144.6,10.4,-2.8,1.8,27.5
Virginia,2006,5.2,23.4,101.4,152.1,,,,
Virginia,2007,5.3,22.6,99.2,142.6,0.8,-3.5,-2.2,-6.3
Virginia,2008,4.7,22.6,95.7,132.8,-10,0,-3.5,-6.8
Virginia,2009,4.4,19.2,79.4,123.9,-7.1,-15.3,-17.1,-6.7
Virginia,2010,4.6,19.1,70.7,119.1,4.8,-0.1,-10.9,-3.9
Virginia,2011,3.7,19,67.1,106.9,-18.9,-0.9,-5.1,-10.3
Virginia,2012,3.8,17.7,57.5,111.1,2.5,-6.5,-14.3,3.9
Virginia,2013,3.8,19.1,55.3,109.7,-0.3,7.9,-3.9,-1.2
Virginia,2014,4.1,17.2,51.5,112.9,6.1,-10.1,-6.7,2.9
Virginia,2015,4.6,17.8,53,110.2,12.5,3.6,2.8,-2.4
Virginia,2016,5.8,23.4,57.1,122.2,25.9,31.2,7.8,10.9
Virginia,2017,5.3,33.8,51.1,117.9,-7,44.6,-10.4,-3.5
Virginia,2018,4.6,34.3,42.3,118.7,-14.2,1.6,-17.3,0.7
Virginia,2019,5,33,41.3,128.7,8.7,-3.9,-2.4,8.4
Washington,2006,3,42.9,100.1,199.8,,,,
Washington,2007,2.7,40.6,93.6,196.2,-10,-5.3,-6.6,-1.8
Washington,2008,2.9,40.1,96.9,191.2,9.6,-1.3,3.6,-2.5
Washington,2009,2.7,38.1,100.5,189.7,-8.4,-5.1,3.7,-0.8
Washington,2010,2.3,38.1,88.2,185.3,-15.8,0,-12.3,-2.3
Washington,2011,2.4,33.5,82.5,176.1,4.9,-12,-6.4,-4.9
Washington,2012,3,31.8,83.3,177.5,25.9,-5.2,0.9,0.8
Washington,2013,2.3,25.8,83.5,166.4,-23.2,-18.9,0.2,-6.2
Washington,2014,2.5,30.7,79.9,164.7,7.4,19.3,-4.3,-1.1
Washington,2015,2.9,30.6,76,167.8,19.4,-0.5,-4.9,1.9
Washington,2016,2.7,31,77.5,179.7,-9.1,1.3,2,7.1
Washington,2017,3.1,44,72.8,184.6,16.1,41.8,-6.1,2.7
Washington,2018,3.1,45.3,73.9,189.1,0.8,3,1.6,2.4
Washington,2019,2.6,43.8,67.6,179.9,-17,-3.4,-8.6,-4.9
West Virginia,2006,4.1,21.4,46.9,207.3,,,,
West Virginia,2007,3.5,20.4,47,204.3,-14.4,-4.8,0.2,-1.5
West Virginia,2008,3.3,20,49,201.5,-6.4,-2,4.2,-1.3
West Virginia,2009,4.6,23.8,50.4,217.7,39.6,19.3,2.8,8
West Virginia,2010,3.3,19.1,44.7,247.5,-27.5,-19.7,-11.3,13.7
West Virginia,2011,4.3,20.9,49,241.6,28.9,9.5,9.8,-2.4
West Virginia,2012,3.9,22.7,45.2,244.6,-10,8.5,-7.9,1.2
West Virginia,2013,3.3,24.6,35.1,226.7,-15.2,8.4,-22.3,-7.3
West Virginia,2014,4,15.4,35.2,235.5,21.6,-37.4,0.2,3.9
West Virginia,2015,3.8,22.8,41.2,256.4,-5.1,47.9,17.1,8.9
West Virginia,2016,4.4,25.6,39.3,278.5,16.5,12.2,-4.6,8.6
West Virginia,2017,4.7,43.8,28.9,273.4,5.8,71.3,-26.6,-1.8
West Virginia,2018,3.7,36.1,31.7,218.5,-20.7,-17.5,9.8,-20.1
West Virginia,2019,4.4,42.1,21.1,249.1,17.3,16.5,-33.4,14
Wisconsin,2006,3,20.4,100.2,160.6,,,,
Wisconsin,2007,3.3,21.8,97.7,168.1,10.7,7.3,-2.5,4.7
Wisconsin,2008,2.6,19.9,91.1,160.4,-20.6,-8.9,-6.8,-4.6
Wisconsin,2009,2.5,19.6,85.8,149.1,-1.8,-1.5,-5.8,-7.1
Wisconsin,2010,2.7,20.9,79.2,145.9,7,6.5,-7.7,-2.2
Wisconsin,2011,2.4,20.4,78.2,135.9,-12.6,-2.4,-1.2,-6.8
Wisconsin,2012,3,21.3,80.7,175.5,26.9,4.5,3.2,29.1
Wisconsin,2013,2.8,22.6,84.2,161.6,-6.6,6,4.3,-7.9
Wisconsin,2014,2.9,20.3,88,170.4,1.6,-10.1,4.5,5.5
Wisconsin,2015,4.2,21.2,90.7,180.1,45.1,4.5,3,5.7
Wisconsin,2016,4,25.2,81.4,186.3,-4.7,19,-10.2,3.4
Wisconsin,2017,3.2,36.9,75,204.8,-19,46.3,-7.9,9.9
Wisconsin,2018,3,38.7,60,193.7,-5.7,4.8,-20,-5.4
Wisconsin,2019,3,38.8,51.4,200,-0.7,0.4,-14.4,3.2
Wyoming,2006,1.7,27.2,14,196.7,,,,
Wyoming,2007,3.1,30.6,16.1,189.5,75.1,12.6,14.9,-3.6
